filename,alt_text,caption,source_credit,source_year,license_note,rights_status,people_shown,is_placeholder
avatar-p-11.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-12.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-13.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-14.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-15.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-16.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-17.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-18.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-19.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-20.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-21.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-p-22.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-01.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-02.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-03.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-04.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-05.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-06.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-07.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-08.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-09.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-10.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-11.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
avatar-w-12.png,"Ilustrasi avatar","Ilustrasi — bukan foto asli perangkat desa.","DiceBear ""Personas"" oleh Draftbit",2026,"CC BY 4.0 | https://www.dicebear.com/styles/personas/",licensed,,1
